DST_IP,family
199.232.198.133,2
199.232.210.172,5
199.232.213.91,2
199.232.214.172,3
199.59.243.225,2
199.59.243.226,5
2.17.107.105,2
2.17.107.130,3
2.17.209.123,2
2.17.209.140,2
2.18.108.192,4
2.18.108.20,2
2.18.109.10,2
2.18.109.224,2
2.18.109.233,2
2.18.109.35,2
2.18.109.60,3
2.18.190.80,3
2.18.66.74,2
2.19.252.226,3
2.22.101.110,3
2.22.144.73,3
2.22.144.81,2
2.22.99.85,2
20.189.173.11,2
20.189.173.13,2
20.189.173.6,2
20.189.173.7,4
20.190.159.75,3
20.190.160.20,2
20.199.58.43,3
20.223.35.26,3
20.223.54.233,2
20.231.121.79,5
20.234.120.54,2
20.238.3.66,2
20.26.156.210,11
20.26.156.215,12
20.26.156.216,8
20.42.65.85,2
20.42.65.90,2
20.50.80.213,2
204.79.197.200,14
204.79.197.203,2
204.79.197.222,3
204.79.197.237,42
204.79.197.239,2
208.91.197.46,5
208.93.169.131,4
208.95.112.1,7
209.197.3.8,3
216.200.232.253,2
216.218.135.118,2
216.239.32.116,2
216.239.32.3,2
216.239.32.36,7
216.239.34.157,2
216.239.34.21,4
216.239.34.36,10
216.239.36.21,4
216.58.201.102,4
216.58.201.106,6
216.58.201.110,6
216.58.201.97,10
216.58.201.98,3
216.58.201.99,9
216.58.204.66,4
216.58.204.74,5
216.58.204.78,5
216.58.212.202,2
216.58.212.206,2
216.58.212.234,3
216.58.212.238,3
216.58.213.10,4
216.58.213.2,3
216.58.213.22,2
216.58.213.3,5
216.58.213.6,2
216.58.214.68,7
217.20.58.100,2
217.20.58.20,2
224.0.0.22,2
224.0.0.251,24
224.0.0.252,3
23.206.78.251,2
23.214.143.155,2
23.36.168.202,2
23.44.234.16,2
23.49.173.44,2
23.52.125.134,2
23.53.113.159,2
23.55.97.11,2
23.59.171.26,2
23.62.195.195,6
23.62.61.129,4
23.62.61.155,3
23.62.61.160,2
23.62.61.168,2
23.62.61.185,2
23.62.61.194,10
23.62.61.57,2
23.62.61.72,2
23.62.61.97,9
23.88.8.125,2
23.88.86.2,3
239.255.255.250,2
3.13.191.225,2
3.130.204.160,2
3.130.253.23,2
3.134.125.175,2
3.134.39.220,2
3.14.182.203,2
3.17.7.232,2
3.212.32.131,2
3.214.1.114,2
3.22.30.40,2
3.33.130.190,5
3.33.251.168,2
3.64.163.50,4
3.70.167.193,2
3.75.62.37,3
3.78.168.176,2
34.102.146.192,2
34.102.163.6,3
34.102.5.126,2
34.104.35.123,2
34.107.140.113,2
34.107.243.93,6
34.110.186.80,3
34.111.113.62,3
34.111.129.221,3
34.111.152.239,2
34.117.188.166,6
